Period,Head_Size,Num_Heads,FF_Dim,Num_Transformer_Blocks,Test_RMSE
5_years,64,4,128,2,0.1857271692586634
5_years,64,4,256,2,0.12314735026066159
5_years,64,8,128,2,0.08508913824554869
5_years,64,8,256,2,0.1420579230646961
5_years,128,4,128,2,0.057189053186822214
5_years,128,4,256,2,0.16264732522301117
5_years,128,8,128,2,0.14618173525663875
5_years,128,8,256,2,0.09855408244329049
10_years,64,4,128,2,0.23076880236067235
10_years,64,4,256,2,0.3106912997771974
10_years,64,8,128,2,0.21135120108579852
10_years,64,8,256,2,0.4168939154550675
10_years,128,4,128,2,3.8492022054704758
10_years,128,4,256,2,2.4227495241488874
10_years,128,8,128,2,1.6886801274291148
10_years,128,8,256,2,1.3156073456872095
