Period,n_estimators,max_depth,subsample,learning_rate,Test_RMSE
5_years,200,3,0.8,0.1,0.0741437518730003
5_years,200,3,1.0,0.1,0.06599233229987177
5_years,200,5,0.8,0.1,0.08789272158278322
5_years,200,5,1.0,0.1,0.08202009917364701
5_years,200,7,0.8,0.1,0.09313974436379052
5_years,200,7,1.0,0.1,0.11338506291512018
5_years,300,3,0.8,0.1,0.07426741259428563
5_years,300,3,1.0,0.1,0.06576021066227683
5_years,300,5,0.8,0.1,0.08770284595853595
5_years,300,5,1.0,0.1,0.08131989833273055
5_years,300,7,0.8,0.1,0.09312304648457498
5_years,300,7,1.0,0.1,0.11338506291512018
5_years,400,3,0.8,0.1,0.07267115873986787
5_years,400,3,1.0,0.1,0.06534321466081237
5_years,400,5,0.8,0.1,0.08749982385889095
5_years,400,5,1.0,0.1,0.08131989833273055
5_years,400,7,0.8,0.1,0.09313700102043446
5_years,400,7,1.0,0.1,0.11338506291512018
10_years,200,3,0.8,0.1,0.44235681856472236
10_years,200,3,1.0,0.1,0.4460784800489681
10_years,200,5,0.8,0.1,0.4379809184523442
10_years,200,5,1.0,0.1,0.4408189190430726
10_years,200,7,0.8,0.1,0.4349491109092602
10_years,200,7,1.0,0.1,0.4314132456836774
10_years,300,3,0.8,0.1,0.44086535156541223
10_years,300,3,1.0,0.1,0.44660856067298027
10_years,300,5,0.8,0.1,0.4375942828737464
10_years,300,5,1.0,0.1,0.4408189190430726
10_years,300,7,0.8,0.1,0.43500618192152696
10_years,300,7,1.0,0.1,0.4314132456836774
10_years,400,3,0.8,0.1,0.4415986788872872
10_years,400,3,1.0,0.1,0.4464661451494784
10_years,400,5,0.8,0.1,0.43761735338197605
10_years,400,5,1.0,0.1,0.4408189190430726
10_years,400,7,0.8,0.1,0.43487947590476234
10_years,400,7,1.0,0.1,0.4314132456836774
