Period,Head_Size,Num_Heads,FF_Dim,Num_Transformer_Blocks,Test_RMSE
5_years,64,4,128,2,0.16907275158210808
5_years,64,4,256,2,0.27310820321562906
5_years,64,8,128,2,1.4099072804612687
5_years,64,8,256,2,0.34621683206747544
5_years,128,4,128,2,0.06692690162698156
5_years,128,4,256,2,0.9397069030850087
5_years,128,8,128,2,3.355479882839928
5_years,128,8,256,2,0.2218679986661903
10_years,64,4,128,2,0.7091110331851168
10_years,64,4,256,2,1.2931354246052198
10_years,64,8,128,2,0.48038300142516366
10_years,64,8,256,2,0.17761897004576555
10_years,128,4,128,2,0.3022666277548458
10_years,128,4,256,2,0.39284685642721573
10_years,128,8,128,2,0.9412796214058979
10_years,128,8,256,2,1.1581298629758192
