Period,n_estimators,max_depth,subsample,learning_rate,Test_RMSE
5_years,200,3,0.8,0.1,0.12373522507443739
5_years,200,3,1.0,0.1,0.1238900776192911
5_years,200,5,0.8,0.1,0.1467513940890666
5_years,200,5,1.0,0.1,0.14302469876327678
5_years,200,7,0.8,0.1,0.14545734050801087
5_years,200,7,1.0,0.1,0.14329126949169516
5_years,300,3,0.8,0.1,0.12492451223104808
5_years,300,3,1.0,0.1,0.12806822380580168
5_years,300,5,0.8,0.1,0.14758219600455763
5_years,300,5,1.0,0.1,0.14231897640729477
5_years,300,7,0.8,0.1,0.14547734137534338
5_years,300,7,1.0,0.1,0.14329126949169516
5_years,400,3,0.8,0.1,0.12394845314287939
5_years,400,3,1.0,0.1,0.1287472608765937
5_years,400,5,0.8,0.1,0.14825084927493506
5_years,400,5,1.0,0.1,0.14300135665400204
5_years,400,7,0.8,0.1,0.14546597754566298
5_years,400,7,1.0,0.1,0.14329126949169516
10_years,200,3,0.8,0.1,0.2084918676502575
10_years,200,3,1.0,0.1,0.2028386627930373
10_years,200,5,0.8,0.1,0.21421553738141813
10_years,200,5,1.0,0.1,0.2068238060751791
10_years,200,7,0.8,0.1,0.19932534023404774
10_years,200,7,1.0,0.1,0.2087154629599658
10_years,300,3,0.8,0.1,0.21090785439329904
10_years,300,3,1.0,0.1,0.2031728370995741
10_years,300,5,0.8,0.1,0.21409113113595274
10_years,300,5,1.0,0.1,0.20849067862053675
10_years,300,7,0.8,0.1,0.19945345022702235
10_years,300,7,1.0,0.1,0.2087154629599658
10_years,400,3,0.8,0.1,0.210653499130755
10_years,400,3,1.0,0.1,0.20502468101789928
10_years,400,5,0.8,0.1,0.21427363288892354
10_years,400,5,1.0,0.1,0.20910984056070647
10_years,400,7,0.8,0.1,0.19942431424399715
10_years,400,7,1.0,0.1,0.2087154629599658
