Date,USD Index,Interest Rate,Yield Spread
2014-06-30,79.77999877929688,0.09,2.06
2014-07-01,79.81999969482422,0.09,2.11
2014-07-02,79.95999908447266,0.09,2.15
2014-07-03,80.20999908447266,0.09,2.13
2014-07-07,80.22000122070312,0.09,2.11
2014-07-08,80.18000030517578,0.09,2.07
2014-07-09,79.98999786376953,0.09,2.06
2014-07-10,80.12999725341797,0.09,2.09
2014-07-11,80.19000244140625,0.09,2.05
2014-07-14,80.19000244140625,0.09,2.07
2014-07-15,80.38999938964844,0.09,2.07
2014-07-16,80.55999755859375,0.09,2.05
2014-07-17,80.5199966430664,0.09,2.0
2014-07-18,80.5199966430664,0.09,1.99
2014-07-21,80.55999755859375,0.09,1.98
2014-07-22,80.77999877929688,0.09,1.99
2014-07-23,80.80999755859375,0.09,1.98
2014-07-24,80.87000274658203,0.09,1.99
2014-07-25,81.02999877929688,0.09,1.95
2014-07-28,81.02999877929688,0.09,1.96
2014-07-29,81.20999908447266,0.09,1.93
2014-07-30,81.41999816894531,0.09,2.01
2014-07-31,81.45999908447266,0.09,2.05
2014-08-01,81.30000305175781,0.09,2.05
2014-08-04,81.33000183105469,0.09,2.04
2014-08-05,81.5199966430664,0.09,2.02
2014-08-06,81.44000244140625,0.09,2.01
2014-08-07,81.5199966430664,0.09,1.99
2014-08-08,81.38999938964844,0.09,1.99
2014-08-11,81.47000122070312,0.09,1.97
2014-08-12,81.5,0.09,2.01
2014-08-13,81.5999984741211,0.09,2.0
2014-08-14,81.58999633789062,0.09,1.98
2014-08-15,81.41999816894531,0.09,1.92
2014-08-18,81.58000183105469,0.09,1.95
2014-08-19,81.87999725341797,0.09,1.94
2014-08-20,82.25,0.09,1.94
2014-08-21,82.1500015258789,0.09,1.92
2014-08-22,82.33999633789062,0.09,1.87
2014-08-25,82.55000305175781,0.09,1.86
2014-08-26,82.6500015258789,0.09,1.87
2014-08-27,82.43000030517578,0.09,1.86
2014-08-28,82.4800033569336,0.09,1.84
2014-08-29,82.75,0.09,1.87
2014-09-02,82.98999786376953,0.09,1.89
2014-09-03,82.87000274658203,0.09,1.89
2014-09-04,83.81999969482422,0.09,1.91
2014-09-05,83.76000213623047,0.09,1.94
2014-09-08,84.2300033569336,0.09,1.94
2014-09-09,84.27999877929688,0.09,1.94
2014-09-10,84.25,0.09,1.96
2014-09-11,84.30000305175781,0.09,1.96
2014-09-12,84.23999786376953,0.09,2.04
2014-09-15,84.26000213623047,0.09,2.02
2014-09-16,84.06999969482422,0.09,2.05
2014-09-17,84.69999694824219,0.09,2.03
2014-09-18,84.31999969482422,0.09,2.04
2014-09-19,84.80000305175781,0.09,2.0
2014-09-22,84.66999816894531,0.09,1.99
2014-09-23,84.66000366210938,0.09,1.97
2014-09-24,85.05000305175781,0.09,1.98
2014-09-25,85.19999694824219,0.09,1.96
2014-09-26,85.63999938964844,0.09,1.95
2014-09-29,85.58999633789062,0.09,1.92
2014-09-30,85.94000244140625,0.09,1.94
2014-10-01,85.97000122070312,0.09,1.89
2014-10-02,85.5999984741211,0.09,1.91
2014-10-03,86.69000244140625,0.09,1.88
2014-10-06,85.70999908447266,0.09,1.89
2014-10-07,85.66999816894531,0.09,1.84
2014-10-08,85.30000305175781,0.09,1.89
2014-10-09,85.5199966430664,0.09,1.88
2014-10-10,85.91000366210938,0.09,1.86
2014-10-13,85.43000030517578,0.09,1.86
2014-10-14,85.81999969482422,0.09,1.82
2014-10-15,85.1500015258789,0.09,1.81
2014-10-16,85.0,0.09,1.82
2014-10-17,85.19000244140625,0.09,1.83
2014-10-20,84.94999694824219,0.09,1.83
2014-10-21,85.30999755859375,0.09,1.85
2014-10-22,85.73999786376953,0.09,1.84
2014-10-23,85.83999633789062,0.09,1.88
2014-10-24,85.7300033569336,0.09,1.88
2014-10-27,85.5,0.09,1.86
2014-10-28,85.41000366210938,0.09,1.88
2014-10-29,85.94999694824219,0.09,1.86
2014-10-30,86.1500015258789,0.09,1.84
2014-10-31,86.87999725341797,0.09,1.85
2014-11-03,87.30999755859375,0.09,1.84
2014-11-04,86.9800033569336,0.09,1.83
2014-11-05,87.44000244140625,0.09,1.84
2014-11-06,88.01000213623047,0.09,1.85
2014-11-07,87.63999938964844,0.09,1.81
2014-11-10,87.80999755859375,0.09,1.83
2014-11-11,87.52999877929688,0.09,1.83
2014-11-12,87.81999969482422,0.09,1.82
2014-11-13,87.66999816894531,0.09,1.82
2014-11-14,87.52999877929688,0.09,1.78
2014-11-17,87.93000030517578,0.09,1.8
2014-11-18,87.58000183105469,0.09,1.79
2014-11-19,87.6500015258789,0.09,1.82
2014-11-20,87.58999633789062,0.09,1.81
2014-11-21,88.30999755859375,0.09,1.78
2014-11-24,88.1500015258789,0.09,1.77
2014-11-25,87.91999816894531,0.09,1.76
2014-11-26,87.61000061035156,0.09,1.71
2014-11-28,88.36000061035156,0.09,1.71
2014-12-01,87.94999694824219,0.12,1.73
2014-12-02,88.6500015258789,0.12,1.73
2014-12-03,88.95999908447266,0.12,1.72
2014-12-04,88.69999694824219,0.12,1.7
2014-12-05,89.33000183105469,0.12,1.66
2014-12-08,89.04000091552734,0.12,1.62
2014-12-09,88.69000244140625,0.12,1.58
2014-12-10,88.2699966430664,0.12,1.59
2014-12-11,88.66000366210938,0.12,1.57
2014-12-12,88.36000061035156,0.12,1.54
2014-12-15,88.45999908447266,0.12,1.52
2014-12-16,88.12999725341797,0.12,1.49
2014-12-17,89.12999725341797,0.12,1.52
2014-12-18,89.23999786376953,0.12,1.55
2014-12-19,89.5999984741211,0.12,1.5
2014-12-22,89.7699966430664,0.12,1.46
2014-12-23,90.05999755859375,0.12,1.53
2014-12-24,89.97000122070312,0.12,1.54
2014-12-26,90.02999877929688,0.12,1.52
2014-12-29,90.19000244140624,0.12,1.5
2014-12-30,89.98999786376953,0.12,1.51
2014-12-31,90.2699966430664,0.12,1.5
2015-01-02,91.08000183105467,0.12,1.46
2015-01-05,91.37999725341795,0.12,1.36
2015-01-06,91.5,0.12,1.32
2015-01-07,91.88999938964844,0.12,1.34
2015-01-08,92.37000274658205,0.12,1.41
2015-01-09,91.94000244140624,0.12,1.39
2015-01-12,91.9800033569336,0.12,1.36
2015-01-13,92.30999755859376,0.12,1.37
2015-01-14,92.16000366210938,0.12,1.35
2015-01-15,92.3499984741211,0.12,1.33
2015-01-16,92.5199966430664,0.12,1.34
2015-01-20,93.0500030517578,0.12,1.29
2015-01-21,92.9000015258789,0.12,1.34
2015-01-22,94.23999786376952,0.12,1.37
2015-01-23,95.0,0.12,1.29
2015-01-26,94.8000030517578,0.12,1.29
2015-01-27,94.0199966430664,0.12,1.29
2015-01-28,94.47000122070312,0.12,1.23
2015-01-29,94.77999877929688,0.12,1.26
2015-01-30,94.8000030517578,0.12,1.21
2015-02-02,94.5,0.12,1.19
2015-02-03,93.5999984741211,0.12,1.27
2015-02-04,93.98999786376952,0.12,1.29
2015-02-05,94.6999969482422,0.12,1.31
2015-02-06,94.6999969482422,0.12,1.3
2015-02-09,94.4499969482422,0.12,1.31
2015-02-10,94.76000213623048,0.12,1.34
2015-02-11,94.98999786376952,0.12,1.33
2015-02-12,94.08999633789062,0.12,1.38
2015-02-13,94.1999969482422,0.12,1.36
2015-02-17,94.05999755859376,0.12,1.44
2015-02-18,94.1999969482422,0.12,1.45
2015-02-19,94.4000015258789,0.12,1.44
2015-02-20,94.25,0.12,1.46
2015-02-23,94.56999969482422,0.12,1.42
2015-02-24,94.48999786376952,0.12,1.39
2015-02-25,94.20999908447266,0.12,1.35
2015-02-26,95.29000091552734,0.12,1.37
2015-02-27,95.25,0.12,1.37
2015-03-02,95.45999908447266,0.12,1.42
2015-03-03,95.37999725341795,0.12,1.44
2015-03-04,95.97000122070312,0.12,1.46
2015-03-05,96.37999725341795,0.12,1.46
2015-03-06,97.62000274658205,0.12,1.51
2015-03-09,97.58999633789062,0.12,1.5
2015-03-10,98.62000274658205,0.12,1.44
2015-03-11,99.8000030517578,0.12,1.41
2015-03-12,99.1500015258789,0.12,1.43
2015-03-13,100.33000183105467,0.12,1.45
2015-03-16,99.5999984741211,0.12,1.44
2015-03-17,99.58999633789062,0.12,1.36
2015-03-18,98.5500030517578,0.12,1.36
2015-03-19,99.0999984741211,0.12,1.35
2015-03-20,97.91000366210938,0.12,1.33
2015-03-23,97.02999877929688,0.12,1.32
2015-03-24,97.19000244140624,0.12,1.3
2015-03-25,96.9800033569336,0.12,1.34
2015-03-26,97.44000244140624,0.12,1.4
2015-03-27,97.29000091552734,0.12,1.37
2015-03-30,97.9800033569336,0.12,1.38
2015-03-31,98.36000061035156,0.12,1.38
2015-04-01,98.19000244140624,0.12,1.32
2015-04-02,97.44000244140624,0.12,1.37
2015-04-06,97.11000061035156,0.12,1.41
2015-04-07,97.83000183105467,0.12,1.37
2015-04-08,98.06999969482422,0.12,1.38
2015-04-09,99.16000366210938,0.12,1.41
2015-04-10,99.38999938964844,0.12,1.39
2015-04-13,99.48999786376952,0.12,1.4
2015-04-14,98.76000213623048,0.12,1.37
2015-04-15,98.33000183105467,0.12,1.4
2015-04-16,97.41999816894533,0.12,1.4
2015-04-17,97.5199966430664,0.12,1.36
2015-04-20,97.94000244140624,0.12,1.35
2015-04-21,97.9800033569336,0.12,1.37
2015-04-22,98.0199966430664,0.12,1.42
2015-04-23,97.27999877929688,0.12,1.41
2015-04-24,96.91999816894533,0.12,1.39
2015-04-27,96.7699966430664,0.12,1.4
2015-04-28,96.08999633789062,0.12,1.44
2015-04-29,95.12000274658205,0.12,1.5
2015-04-30,94.5999984741211,0.12,1.47
2015-05-01,95.3000030517578,0.12,1.52
2015-05-04,95.4800033569336,0.12,1.56
2015-05-05,95.12999725341795,0.12,1.57
2015-05-06,94.12999725341795,0.12,1.6
2015-05-07,94.62000274658205,0.12,1.55
2015-05-08,94.79000091552734,0.12,1.57
2015-05-11,95.01000213623048,0.12,1.66
2015-05-12,94.52999877929688,0.12,1.67
2015-05-13,93.62000274658205,0.12,1.68
2015-05-14,93.36000061035156,0.12,1.67
2015-05-15,93.13999938964844,0.12,1.59
2015-05-18,94.19000244140624,0.12,1.65
