Period,Head_Size,Num_Heads,FF_Dim,Num_Transformer_Blocks,Test_RMSE
5_years,64,4,128,2,0.29153370392653594
5_years,64,4,256,2,2.485097463253283
5_years,64,8,128,2,0.33594026771570645
5_years,64,8,256,2,0.6841270485741147
5_years,128,4,128,2,0.1937376395119037
5_years,128,4,256,2,1.9193673826873618
5_years,128,8,128,2,0.6608698559575258
5_years,128,8,256,2,0.5702325588014562
10_years,64,4,128,2,3.1616861805587777
10_years,64,4,256,2,0.8275580866231729
10_years,64,8,128,2,0.5764592132993184
10_years,64,8,256,2,2.543107821052117
10_years,128,4,128,2,0.48213389030450843
10_years,128,4,256,2,0.46129508465090435
10_years,128,8,128,2,0.7269511424851438
10_years,128,8,256,2,0.1701711279897829
