Period,n_estimators,max_depth,subsample,learning_rate,Test_RMSE
5_years,200,3,0.8,0.1,0.03682951714473145
5_years,200,3,1.0,0.1,0.02998363005124059
5_years,200,5,0.8,0.1,0.06505417155197356
5_years,200,5,1.0,0.1,0.046197551793778366
5_years,200,7,0.8,0.1,0.06383361189082554
5_years,200,7,1.0,0.1,0.06251552577323582
5_years,300,3,0.8,0.1,0.037185421922225084
5_years,300,3,1.0,0.1,0.03224850969859259
5_years,300,5,0.8,0.1,0.06612947653854494
5_years,300,5,1.0,0.1,0.04716753564975886
5_years,300,7,0.8,0.1,0.06387184173979879
5_years,300,7,1.0,0.1,0.06251522042044683
5_years,400,3,0.8,0.1,0.03896992610952803
5_years,400,3,1.0,0.1,0.03276924186085694
5_years,400,5,0.8,0.1,0.06614063059594447
5_years,400,5,1.0,0.1,0.04696142482256089
5_years,400,7,0.8,0.1,0.06388442618771577
5_years,400,7,1.0,0.1,0.06251522042044683
10_years,200,3,0.8,0.1,0.16182487614604768
10_years,200,3,1.0,0.1,0.14123358224352292
10_years,200,5,0.8,0.1,0.2043634073899653
10_years,200,5,1.0,0.1,0.18044181419457342
10_years,200,7,0.8,0.1,0.20259043308864094
10_years,200,7,1.0,0.1,0.17730144793584837
10_years,300,3,0.8,0.1,0.16313945587742648
10_years,300,3,1.0,0.1,0.14603622339214012
10_years,300,5,0.8,0.1,0.2036060537233504
10_years,300,5,1.0,0.1,0.17773473008193777
10_years,300,7,0.8,0.1,0.20206132166185495
10_years,300,7,1.0,0.1,0.17692295668727173
10_years,400,3,0.8,0.1,0.16269241673071155
10_years,400,3,1.0,0.1,0.1455684817983731
10_years,400,5,0.8,0.1,0.20400063698716012
10_years,400,5,1.0,0.1,0.17472654286887007
10_years,400,7,0.8,0.1,0.20186271685505655
10_years,400,7,1.0,0.1,0.17692295668727173
