Period,Head_Size,Num_Heads,FF_Dim,Num_Transformer_Blocks,Test_RMSE
5_years,64,4,128,2,0.046533378271137425
5_years,64,4,256,2,1.3448526224190906
5_years,64,8,128,2,0.2814575219143003
5_years,64,8,256,2,3.742958032005405
5_years,128,4,128,2,1.1742168841233622
5_years,128,4,256,2,2.0915308110417614
5_years,128,8,128,2,0.4741271666714261
5_years,128,8,256,2,0.46833893277436495
10_years,64,4,128,2,0.2474448736241068
10_years,64,4,256,2,0.8250652782086316
10_years,64,8,128,2,0.6824038345599709
10_years,64,8,256,2,0.8035512425965539
10_years,128,4,128,2,0.48475113955474386
10_years,128,4,256,2,3.373144202488489
10_years,128,8,128,2,1.3124683732903046
10_years,128,8,256,2,0.8199192022891183
