Period,n_estimators,max_depth,subsample,learning_rate,Test_RMSE
5_years,200,3,0.8,0.1,0.022450488747513753
5_years,200,3,1.0,0.1,0.024270069102665968
5_years,200,5,0.8,0.1,0.030156172824746304
5_years,200,5,1.0,0.1,0.03181382609656714
5_years,200,7,0.8,0.1,0.03836673334543144
5_years,200,7,1.0,0.1,0.04015288387259908
5_years,300,3,0.8,0.1,0.022645052291626007
5_years,300,3,1.0,0.1,0.02420334382282624
5_years,300,5,0.8,0.1,0.030207444366204015
5_years,300,5,1.0,0.1,0.03187337069144821
5_years,300,7,0.8,0.1,0.038371845462839636
5_years,300,7,1.0,0.1,0.04015288387259908
5_years,400,3,0.8,0.1,0.022686571484913355
5_years,400,3,1.0,0.1,0.024325581773795554
5_years,400,5,0.8,0.1,0.030208138098792865
5_years,400,5,1.0,0.1,0.03187337069144821
5_years,400,7,0.8,0.1,0.03837140883457813
5_years,400,7,1.0,0.1,0.04015288387259908
10_years,200,3,0.8,0.1,0.18572673444459273
10_years,200,3,1.0,0.1,0.1762264942096769
10_years,200,5,0.8,0.1,0.16195691807059379
10_years,200,5,1.0,0.1,0.16049870391637727
10_years,200,7,0.8,0.1,0.16658985934357182
10_years,200,7,1.0,0.1,0.16720007280312324
10_years,300,3,0.8,0.1,0.18614228408311523
10_years,300,3,1.0,0.1,0.1796129300910631
10_years,300,5,0.8,0.1,0.16237438607018378
10_years,300,5,1.0,0.1,0.16065251887858706
10_years,300,7,0.8,0.1,0.16658392189839222
10_years,300,7,1.0,0.1,0.16720007280312324
10_years,400,3,0.8,0.1,0.18589343537057915
10_years,400,3,1.0,0.1,0.18034430981526306
10_years,400,5,0.8,0.1,0.1624887281597173
10_years,400,5,1.0,0.1,0.16089495528464523
10_years,400,7,0.8,0.1,0.16658068748947644
10_years,400,7,1.0,0.1,0.16720007280312324
